kode_prov,kode_bps_2010,kode_bps_2014_x,kode_bps_2019,name_prov,name_kab_2014,name_kab_2019,dapil_2019,dapil 2014,change_14_19,name_kab_2010,Islam,Kristen,Katolik,Hindu,Budha,Khong Hu Chu,Lainnya,Tidak Terjawab,Tidak Ditanyakan,Jumlah
13,1373,1373,1373,Sumatera Barat,Sawahlunto,Sawahlunto,Sumbar-01,Sumbar-01,No Change,Kota Sawah Lunto,56508,226,99,0,2,2,2,0,27,56866
13,1374,1374,1374,Sumatera Barat,Padang Panjang,Padang Panjang,Sumbar-01,Sumbar-01,No Change,Kota Padang Panjang,45076,268,305,4,45,0,4,0,1306,47008
13,1375,1375,1375,Sumatera Barat,Bukittinggi,Bukittinggi,Sumbar-02,Sumbar-02,No Change,Kota Bukittinggi,108367,1586,1041,10,197,3,3,0,105,111312
13,1376,1376,1376,Sumatera Barat,Payakumbuh,Payakumbuh,Sumbar-02,Sumbar-02,No Change,Kota Payakumbuh,115142,714,506,6,154,2,0,8,293,116825
13,1377,1377,1377,Sumatera Barat,Pariaman,Pariaman,Sumbar-02,Sumbar-02,No Change,Kota Pariaman,78462,270,100,2,2,0,0,1,206,79043
14,1401,1401,1401,Riau,Kuantan Singingi,Kuantan Singingi,Riau-02,Riau-02,No Change,Kuantan Singingi,280478,9614,814,23,378,11,6,0,792,292116
14,1402,1402,1402,Riau,Indragiri Hulu,Indragiri Hulu,Riau-02,Riau-02,No Change,Indragiri Hulu,336394,19753,3845,14,1058,55,1281,1,1041,363442
14,1403,1403,1403,Riau,Indragiri Hilir,Indragiri Hilir,Riau-02,Riau-02,No Change,Indragiri Hilir,649827,6119,603,75,4294,216,8,23,614,661779
14,1404,1404,1404,Riau,Pelalawan,Pelalawan,Riau-02,Riau-02,No Change,Pelalawan,253465,42123,2947,86,2619,13,0,0,576,301829
14,1405,1405,1405,Riau,Siak,Siak,Riau-01,Riau-01,No Change,Siak,311820,54250,5010,226,3601,63,268,0,1504,376742
14,1406,1406,1406,Riau,Kampar,Kampar,Riau-02,Riau-02,No Change,Kampar,620465,61613,5098,54,450,24,6,87,407,688204
14,1407,1407,1407,Riau,Rokan Hulu,Rokan Hulu,Riau-01,Riau-01,No Change,Rokan Hulu,400125,69355,4700,16,231,7,23,0,386,474843
14,1408,1408,1408,Riau,Bengkalis,Bengkalis,Riau-01,Riau-01,No Change,Bengkalis,411569,56295,4624,85,24286,361,41,0,1075,498336
14,1409,1409,1409,Riau,Rokan Hilir,Rokan Hilir,Riau-01,Riau-01,No Change,Rokan Hilir,480505,51696,3355,87,15095,957,11,6,1504,553216
14,1410,1410,1410,Riau,Kepulauan Meranti,Kepulauan Meranti,Riau-01,Riau-01,No Change,Kepulauan Meranti,148888,2350,162,73,23083,1316,315,0,103,176290
14,1471,1471,1471,Riau,Pekan Baru,Pekan Baru,Riau-01,Riau-01,No Change,Kota Pekanbaru,762049,86200,11270,280,31108,310,129,400,6021,897767
14,1473,1473,1473,Riau,Dumai,Dumai,Riau-01,Riau-01,No Change,Kota Dumai,217288,25527,1755,57,8129,422,0,0,625,253803
15,1501,1501,1501,Jambi,Kerinci,Kerinci,Jambi-at-large,Jambi-at-large,No Change,Kerinci,228961,423,110,0,0,0,0,1,0,229495
15,1502,1502,1502,Jambi,Merangin,Merangin,Jambi-at-large,Jambi-at-large,No Change,Merangin,326376,4957,503,30,80,13,32,12,1203,333206
