kode_prov;kode_bps_2014;kode_bps_2019;name_prov;name_kab_2014;name_kab_2019;dapil_2019;dapil 2014;change_14_19
18;1807;1807;Lampung;Way Kanan;Way Kanan;Lampung-02;Lampung-02;No Change
18;1808;1808;Lampung;Tulang Bawang;Tulang Bawang;Lampung-02;Lampung-02;No Change
18;1809;1809;Lampung;Pesawaran;Pesawaran;Lampung-01;Lampung-01;No Change
18;1810;1810;Lampung;Pringsewu;Pringsewu;Lampung-01;Lampung-01;No Change
18;1811;1811;Lampung;Mesuji;Mesuji;Lampung-02;Lampung-02;No Change
18;1812;1812;Lampung;Tulang Bawang Barat;Tulang Bawang Barat;Lampung-02;Lampung-02;No Change
18;1813;1813;Lampung;Pesisir Barat;Pesisir Barat;Lampung-01;Lampung-01;No Change
18;1871;1871;Lampung;Bandar Lampung;Bandar Lampung;Lampung-01;Lampung-01;No Change
18;1872;1872;Lampung;Metro;Metro;Lampung-01;Lampung-01;No Change
19;1901;1901;Kepulauan Bangka Belitung;Bangka;Bangka;Babel-at-large;Babel-at-large;No Change
19;1902;1902;Kepulauan Bangka Belitung;Belitung;Belitung;Babel-at-large;Babel-at-large;No Change
19;1903;1903;Kepulauan Bangka Belitung;Bangka Barat;Bangka Barat;Babel-at-large;Babel-at-large;No Change
19;1904;1904;Kepulauan Bangka Belitung;Bangka Tengah;Bangka Tengah;Babel-at-large;Babel-at-large;No Change
19;1905;1905;Kepulauan Bangka Belitung;Bangka Selatan;Bangka Selatan;Babel-at-large;Babel-at-large;No Change
19;1906;1906;Kepulauan Bangka Belitung;Belitung Timur;Belitung Timur;Babel-at-large;Babel-at-large;No Change
19;1971;1971;Kepulauan Bangka Belitung;Pangkal Pinang;Pangkal Pinang;Babel-at-large;Babel-at-large;No Change
21;2101;2101;Kepulauan Riau;Karimun;Karimun;Kepri-at-large;Kepri-at-large;No Change
21;2102;2102;Kepulauan Riau;Bintan;Bintan;Kepri-at-large;Kepri-at-large;No Change
21;2103;2103;Kepulauan Riau;Natuna;Natuna;Kepri-at-large;Kepri-at-large;No Change
21;2104;2104;Kepulauan Riau;Lingga;Lingga;Kepri-at-large;Kepri-at-large;No Change
21;2105;2105;Kepulauan Riau;Kepulauan Anambas;Kepulauan Anambas;Kepri-at-large;Kepri-at-large;No Change
21;2171;2171;Kepulauan Riau;Batam;Batam;Kepri-at-large;Kepri-at-large;No Change
21;2172;2172;Kepulauan Riau;Tanjung Pinang;Tanjung Pinang;Kepri-at-large;Kepri-at-large;No Change
31;3101;3101;DKI Jakarta;Adm. Kepulauan Seribu;Adm. Kepulauan Seribu;Jakarta-03;Jakarta-03;No Change
31;3171;3171;DKI Jakarta;Jakarta Selatan;Jakarta Selatan;Jakarta-02;Jakarta-02;No Change
31;3172;3172;DKI Jakarta;Jakarta Timur;Jakarta Timur;Jakarta-01;Jakarta-01;No Change
31;3173;3173;DKI Jakarta;Jakarta Pusat;Jakarta Pusat;Jakarta-02;Jakarta-02;No Change
31;3174;3174;DKI Jakarta;Jakarta Barat;Jakarta Barat;Jakarta-03;Jakarta-03;No Change
31;3175;3175;DKI Jakarta;Jakarta Utara;Jakarta Utara;Jakarta-03;Jakarta-03;No Change
32;3201;3201;Jawa Barat;Bogor;Bogor;Jabar-05;Jabar-05;No Change
32;3202;3202;Jawa Barat;Sukabumi;Sukabumi;Jabar-04;Jabar-04;No Change
32;3203;3203;Jawa Barat;Cianjur;Cianjur;Jabar-03;Jabar-03;No Change
32;3204;3204;Jawa Barat;Bandung;Bandung;Jabar-02;Jabar-02;No Change
32;3205;3205;Jawa Barat;Garut;Garut;Jabar-11;Jabar-11;No Change
32;3206;3206;Jawa Barat;Tasikmalaya;Tasikmalaya;Jabar-11;Jabar-11;No Change
32;3207;3207;Jawa Barat;Ciamis;Ciamis;Jabar-10;Jabar-10;No Change
32;3208;3208;Jawa Barat;Kuningan;Kuningan;Jabar-10;Jabar-10;No Change
32;3209;3209;Jawa Barat;Cirebon;Cirebon;Jabar-08;Jabar-08;No Change
32;3210;3210;Jawa Barat;Majalengka;Majalengka;Jabar-09;Jabar-09;No Change
32;3211;3211;Jawa Barat;Sumedang;Sumedang;Jabar-09;Jabar-09;No Change
32;3212;3212;Jawa Barat;Indramayu;Indramayu;Jabar-08;Jabar-08;No Change
32;3213;3213;Jawa Barat;Subang;Subang;Jabar-09;Jabar-09;No Change
32;3214;3214;Jawa Barat;Purwakarta;Purwakarta;Jabar-07;Jabar-07;No Change
32;3215;3215;Jawa Barat;Karawang;Karawang;Jabar-07;Jabar-07;No Change
32;3216;3216;Jawa Barat;Bekasi;Bekasi;Jabar-07;Jabar-07;No Change
32;3217;3217;Jawa Barat;Bandung Barat;Bandung Barat;Jabar-02;Jabar-02;No Change
32;3218;3218;Jawa Barat;Pangandaran;Pangandaran;Jabar-10;Jabar-10;No Change
32;3271;3271;Jawa Barat;Bogor;Bogor;Jabar-03;Jabar-03;No Change
32;3272;3272;Jawa Barat;Sukabumi;Sukabumi;Jabar-04;Jabar-04;No Change
32;3273;3273;Jawa Barat;Bandung;Bandung;Jabar-01;Jabar-01;No Change
32;3274;3274;Jawa Barat;Cirebon;Cirebon;Jabar-08;Jabar-08;No Change
32;3275;3275;Jawa Barat;Bekasi;Bekasi;Jabar-06;Jabar-06;No Change
32;3276;3276;Jawa Barat;Depok;Depok;Jabar-06;Jabar-06;No Change
